business_id,name,stars,review_count
0,St Honore Pastries,4.0,80
1,Tuna Bar,4.0,245
2,Craft Hall,3.5,65
3,Pathmark,2.5,34
4,Wawa,3.0,56
5,Mike's Ice Cream,4.5,593
6,Mahony's Po-Boys & Seafood,4.0,382
7,Santa Barbara Shellfish Company,4.0,2404
8,Gaylord Opryland Resort & Convention Center,3.0,1639
9,Tomo Japanese Steakhouse and Sushi Bar,4.0,246
10,1-275 Rest Area Manatee County Mile 7,4.0,5
11,Jon's Bar & Grille,3.0,178
12,Olivier's Creole Restaurant,3.5,172
13,Ann Becnel Companion Dogs,5.0,20
14,Saltwater Grill,2.5,34
15,Blaze Pizza,4.0,302
16,Noble Crust,4.5,496
17,Jong Ka Jib,4.5,351
18,Paddy Whacks Irish Sports Pub - South Street,2.5,161
19,The Twisted Tail,4.0,604
20,Local Links,4.5,70
21,Bistro St. Tropez,3.5,163
22,Hibiscus Spa,4.5,14
23,Pep Boys,2.5,17
24,Freddy's Frozen Custard & Steakburgers,3.5,26
25,Mumbai Bistro,4.0,217
26,Piccadilly,3.0,51
27,Brew Brothers,3.5,592
28,Nudy's Cafe - Chadds Ford,3.5,63
29,Granite City Food & Brewery,3.5,258
30,Jackson's Bar & Bistro - Nashville,3.0,402
31,Pacifico Hyundai,2.5,46
32,The Juice Pod,4.0,19
33,DSW Designer Shoe Warehouse,4.0,15
34,Blue Sage Vegetarian Grille,4.5,572
35,KELP Sushi Joint,4.0,325
36,CVS Optical,2.5,35
37,Double Decker Pizza - Media,4.0,88
38,Taj Mahal Homestyle Indian & Pakistani Cuisine,4.0,280
39,Mr. B's Bistro,4.0,2064
40,Olive Garden Italian Restaurant,3.5,115
41,Starbucks,4.5,7
42,Portofino's Italian Kitchen,4.0,59
43,Plume Salon,4.5,138
44,Terra Sur Cafe,4.0,316
45,Tsunami Japanese Steakhouse,3.0,212
46,Naoki Ramen,4.0,92
47,Slate Bleu Restaurant,4.0,105
48,Reginelli's Pizzeria - Closed,3.5,171
49,Shibe Vintage Sports,4.5,23
50,Suzy-Jo Donuts,4.5,89
51,Grace Meat + Three,4.5,470
52,Beck's Cajun Cafe,4.0,485
53,Golden Triangle,4.5,159
54,Drexel Hill Pizza & Grill,3.0,54
55,Spasso Italian Grill,3.5,192
56,Platoon Fitness,5.0,10
57,Tandoor Authentic Indian Restaurant,3.5,148
