business_id,category_id,edge
0,78,1
0,1201,1
0,924,1
0,1099,1
0,476,1
1,276,1
1,78,1
1,395,1
2,996,1
2,246,1
2,87,1
2,849,1
2,476,1
2,540,1
2,1201,1
2,78,1
3,1201,1
3,1106,1
4,78,1
4,537,1
4,165,1
4,769,1
4,1201,1
4,1099,1
4,31,1
4,244,1
5,783,1
5,1099,1
5,78,1
5,31,1
5,1201,1
6,78,1
6,245,1
6,258,1
7,845,1
7,78,1
7,245,1
7,1131,1
7,247,1
7,357,1
7,887,1
7,1201,1
7,962,1
8,93,1
8,857,1
8,246,1
8,377,1
8,1201,1
8,244,1
8,1025,1
8,1288,1
8,78,1
8,521,1
8,1047,1
8,266,1
8,1192,1
8,988,1
8,30,1
9,322,1
9,78,1
9,276,1
9,395,1
10,266,1
10,486,1
10,1047,1
10,377,1
11,747,1
11,78,1
11,849,1
11,962,1
11,887,1
12,1047,1
12,95,1
12,78,1
12,245,1
12,1091,1
12,941,1
12,401,1
12,286,1
12,93,1
12,258,1
12,1201,1
13,863,1
13,1081,1
13,1063,1
14,286,1
14,78,1
14,1201,1
14,245,1
14,1002,1
15,705,1
15,1068,1
15,396,1
15,78,1
15,454,1
16,78,1
16,694,1
16,962,1
16,941,1
16,887,1
16,915,1
16,705,1
17,727,1
17,78,1
18,887,1
18,962,1
18,667,1
19,1047,1
19,746,1
19,1025,1
19,849,1
19,93,1
19,887,1
19,962,1
19,78,1
20,1099,1
20,78,1
20,1025,1
20,1201,1
20,517,1
20,915,1
21,78,1
21,637,1
22,30,1
22,1288,1
22,1133,1
23,872,1
23,584,1
23,525,1
23,574,1
23,537,1
24,1201,1
24,849,1
24,1068,1
24,783,1
24,144,1
24,78,1
25,1051,1
25,78,1
26,78,1
26,245,1
26,915,1
26,849,1
27,887,1
27,962,1
27,849,1
27,768,1
27,1201,1
27,246,1
27,78,1
27,540,1
28,915,1
28,78,1
28,849,1
29,765,1
29,540,1
29,915,1
29,78,1
29,21,1
29,1025,1
29,1201,1
29,849,1
30,144,1
30,887,1
30,78,1
30,962,1
30,1025,1
30,915,1
30,283,1
31,1085,1
31,525,1
31,872,1
31,377,1
31,537,1
31,80,1
32,1201,1
32,111,1
33,560,1
33,1162,1
33,900,1
34,78,1
34,74,1
34,919,1
35,395,1
35,276,1
35,1201,1
35,78,1
35,221,1
35,1277,1
35,859,1
36,1162,1
36,1201,1
36,129,1
36,741,1
36,244,1
36,636,1
37,705,1
37,245,1
37,78,1
37,835,1
37,694,1
37,144,1
37,454,1
37,1030,1
37,31,1
38,74,1
38,811,1
38,1051,1
38,919,1
38,78,1
39,887,1
39,915,1
39,78,1
39,21,1
39,258,1
39,517,1
39,1066,1
39,962,1
40,78,1
40,694,1
40,899,1
40,887,1
40,454,1
40,962,1
40,767,1
41,1099,1
41,1201,1
42,78,1
42,705,1
42,694,1
43,797,1
43,1288,1
43,1282,1
43,149,1
43,1256,1
43,1133,1
43,479,1
43,961,1
43,1162,1
43,900,1
44,796,1
44,78,1
44,993,1
44,245,1
45,322,1
45,78,1
45,276,1
45,395,1
46,533,1
46,78,1
46,395,1
47,78,1
47,637,1
48,78,1
48,31,1
48,694,1
48,705,1
49,1006,1
49,900,1
49,807,1
49,1167,1
49,1162,1
50,78,1
50,476,1
50,385,1
50,1201,1
51,78,1
51,1091,1
51,941,1
51,899,1
51,31,1
51,21,1
51,933,1
52,78,1
52,258,1
53,78,1
53,102,1
53,132,1
53,221,1
53,670,1
54,78,1
54,705,1
54,454,1
54,31,1
55,78,1
55,1068,1
55,31,1
55,694,1
56,411,1
56,1179,1
56,129,1
56,50,1
56,526,1
56,55,1
56,732,1
56,870,1
56,156,1
56,49,1
57,968,1
57,654,1
57,1201,1
57,78,1
57,1090,1
57,811,1
57,1051,1
58,667,1
58,962,1
58,887,1
58,78,1
58,1025,1
59,632,1
59,78,1
60,517,1
60,811,1
60,111,1
60,78,1
60,783,1
60,654,1
60,1051,1
60,1099,1
60,1201,1
61,1192,1
61,246,1
62,314,1
62,78,1
63,1025,1
63,602,1
63,849,1
63,78,1
64,915,1
64,849,1
64,727,1
64,78,1
64,810,1
64,962,1
64,887,1
64,1066,1
65,872,1
65,94,1
65,537,1
66,78,1
66,1025,1
66,962,1
66,915,1
66,887,1
66,232,1
67,533,1
67,78,1
67,601,1
67,962,1
67,395,1
67,887,1
67,1066,1
68,78,1
68,705,1
69,1099,1
69,1262,1
69,783,1
69,1201,1
69,385,1
70,395,1
70,78,1
70,276,1
71,872,1
71,754,1
71,525,1
71,537,1
71,1085,1
72,78,1
72,276,1
72,765,1
72,1201,1
72,395,1
73,78,1
73,404,1
73,1068,1
73,1129,1
73,155,1
73,654,1
73,1030,1
74,525,1
74,1085,1
74,94,1
74,872,1
74,537,1
75,476,1
75,165,1
75,694,1
75,78,1
75,1201,1
76,78,1
76,694,1
77,1047,1
77,454,1
77,237,1
77,1025,1
77,31,1
77,78,1
77,915,1
78,246,1
78,1192,1
79,537,1
79,1296,1
80,705,1
80,1201,1
80,1262,1
80,31,1
80,933,1
80,915,1
80,144,1
80,1025,1
80,962,1
80,887,1
80,767,1
80,78,1
81,78,1
81,314,1
81,16,1
82,1201,1
82,385,1
82,144,1
82,849,1
82,1099,1
82,78,1
83,377,1
83,1047,1
83,93,1
83,266,1
83,822,1
84,705,1
84,78,1
84,661,1
84,1099,1
84,783,1
84,1201,1
85,705,1
85,78,1
86,78,1
86,1131,1
86,454,1
86,144,1
86,887,1
86,962,1
87,835,1
87,78,1
88,1192,1
88,246,1
89,78,1
89,705,1
90,78,1
90,1025,1
90,1165,1
90,247,1
90,357,1
90,1201,1
90,612,1
90,694,1
90,887,1
90,962,1
90,767,1
90,236,1
91,245,1
91,941,1
91,1201,1
91,845,1
91,78,1
91,765,1
91,1193,1
92,1193,1
93,1214,1
93,732,1
94,849,1
94,78,1
94,601,1
94,765,1
94,887,1
94,1025,1
94,396,1
94,962,1
94,1201,1
95,1025,1
95,78,1
96,377,1
96,964,1
96,246,1
97,694,1
97,705,1
97,78,1
97,849,1
97,887,1
97,962,1
97,1025,1
98,835,1
98,78,1
99,34,1
99,1162,1
99,617,1
99,997,1
99,48,1
100,887,1
100,962,1
101,78,1
101,1066,1
101,887,1
101,933,1
101,1025,1
101,31,1
101,962,1
101,915,1
102,962,1
102,768,1
102,553,1
102,772,1
102,246,1
103,93,1
103,246,1
103,1047,1
103,962,1
103,768,1
104,1201,1
104,540,1
105,1201,1
105,111,1
105,1099,1
105,78,1
105,476,1
105,517,1
106,1201,1
106,919,1
106,517,1
106,74,1
106,968,1
106,396,1
106,1047,1
106,237,1
106,78,1
107,78,1
107,887,1
107,962,1
107,849,1
107,258,1
107,245,1
108,721,1
108,78,1
108,31,1
108,705,1
109,78,1
109,670,1
110,1162,1
110,1118,1
110,636,1
110,900,1
110,1127,1
110,1106,1
110,1201,1
110,1173,1
110,1053,1
111,896,1
111,1201,1
111,1099,1
112,78,1
112,667,1
112,1201,1
112,887,1
112,1025,1
112,962,1
113,78,1
113,705,1
114,237,1
114,93,1
114,915,1
114,810,1
114,1025,1
114,78,1
114,1201,1
114,1047,1
114,887,1
114,1066,1
114,245,1
114,962,1
115,158,1
115,78,1
115,329,1
115,849,1
115,667,1
115,887,1
115,962,1
116,78,1
116,835,1
117,266,1
117,377,1
117,1047,1
118,1201,1
118,540,1
119,1129,1
119,78,1
119,245,1
119,1030,1
120,232,1
120,78,1
121,78,1
121,395,1
121,221,1
121,276,1
121,1079,1
122,78,1
122,915,1
122,1047,1
122,245,1
122,258,1
122,95,1
122,637,1
123,1182,1
123,266,1
123,1047,1
123,377,1
124,516,1
124,76,1
124,1162,1
125,705,1
125,74,1
125,1201,1
125,1168,1
125,1099,1
125,919,1
125,530,1
125,31,1
125,527,1
125,165,1
125,78,1
125,1025,1
125,941,1
125,476,1
126,276,1
126,395,1
126,78,1
127,1201,1
127,783,1
128,129,1
128,692,1
128,1152,1
128,377,1
128,732,1
128,1288,1
128,988,1
128,30,1
128,1201,1
129,1193,1
129,732,1
129,1241,1
129,55,1
130,476,1
130,385,1
130,1201,1
130,165,1
130,78,1
130,1099,1
131,887,1
131,962,1
131,283,1
131,1066,1
132,562,1
132,1081,1
132,189,1
132,863,1
133,923,1
133,78,1
134,76,1
