user_id,name,review_count,yelping_since,useful,funny,cool,elite,fans,average_stars
0,Walker,585,2007-01-25 16:47:26,7217,1259,5994,2007,267,3.91
1,Ruth,2400,2006-11-12 23:50:50,14973,9111,10965,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",487,3.22
2,Tiffany,70,2008-11-19 02:59:24,105,28,37,,13,4.01
3,Gwen,44,2007-07-09 20:16:53,119,69,90,"2007,2008,2009",6,3.35
4,Erica,63,2010-04-10 03:28:36,375,276,193,"2011,2012,2013",11,3.99
5,Paul,2482,2011-06-24 11:24:22,9780,3654,6124,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",499,3.49
6,Pat,136,2009-12-06 15:45:25,123,30,47,2011,5,4.03
7,Suzanne,323,2009-07-23 16:00:08,2324,1436,1065,"2010,2011,2012,2013,2014,2015,2016,2017",55,3.42
8,Jackie,1462,2007-07-29 02:06:59,1814,461,709,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",83,3.69
9,Kay,698,2006-04-27 16:24:35,1114,319,342,"2008,2009,2010,2012,2013,2014,2016",24,3.7
10,Aurora,100,2008-01-23 23:45:02,328,162,181,,69,3.55
11,Angela,695,2010-04-19 06:17:05,1588,371,686,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",60,3.71
12,Visakha,94,2010-05-04 09:25:24,85,23,21,,5,4.09
13,Matthew,367,2006-11-20 01:08:31,327,149,193,"2006,2007",17,3.53
14,Jason,3186,2011-05-28 21:42:38,20044,10137,17296,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",318,3.62
15,Evelyn,1098,2007-06-28 22:09:15,11325,8330,10394,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",202,4.05
16,Ron,196,2010-07-26 17:03:42,202,68,69,"2010,2011,2012,2013,2014",10,3.66
17,Robert,1498,2009-02-03 23:34:19,3559,1617,2323,"2009,2010,2011,2012,2013,2014",109,4.2
18,Julianna,163,2010-01-26 16:06:52,543,194,308,"2010,2011,2012",15,3.66
19,Amanda,318,2008-10-17 21:10:54,744,422,446,"2010,2011,2012,2013,2016",61,3.64
20,Candice,379,2007-12-23 18:40:09,1272,845,953,"2009,2010,2011,2012,2013,2014,2015,2016",70,3.78
21,Myrel,110,2007-07-15 20:55:56,171,80,113,"2010,2011",15,4.42
22,Lisa,1040,2009-10-05 06:06:35,3612,1532,2336,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",227,4.17
23,Jason,962,2009-04-24 10:29:22,1844,703,743,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",49,3.68
24,Rob,119,2009-11-07 20:24:22,106,43,33,,10,4.04
25,Justine,210,2007-12-29 22:01:35,268,249,165,"2009,2010,2012",28,4.13
26,Randy,220,2011-09-03 00:59:32,1927,1068,1399,"2012,2013,2014,2015,2016,2017",97,3.93
27,Aja,687,2008-10-10 15:32:33,1686,629,1021,,97,3.94
28,Dean,64,2008-08-29 03:11:00,476,396,254,2010,16,3.43
29,Nick,845,2006-09-06 19:01:56,5269,4364,4521,"2008,2009,2010,2011,2012,2013,2014",100,3.86
30,Lychee,92,2011-03-07 08:30:39,150,78,112,,5,3.91
31,Gary,63,2011-12-14 19:31:41,49,11,23,,5,4.26
32,Allison,482,2009-03-01 19:52:39,1056,403,463,"2009,2011,2012,2013,2014,2015",44,3.5
33,John,194,2008-10-10 11:59:13,381,123,205,"2009,2010,2011",17,3.41
34,Grace Joy,67,2010-11-09 21:36:09,286,67,72,2011,8,3.68
35,Rachel,567,2009-04-13 20:35:15,1936,726,1698,,387,3.44
36,JoAnna,568,2011-04-03 20:42:48,2199,1472,1686,"2012,2013,2014,2015,2016,2017",54,3.65
37,Amanda,765,2009-12-29 14:36:03,3515,1247,1947,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",207,3.81
38,Kevin,32,2009-11-16 17:19:09,11,5,9,,5,4.34
39,Erica,288,2010-09-18 00:54:42,346,111,117,"2012,2013,2014,2015",20,4.03
