user_id,business_id,stars
33,183,4.0
47,613,5.0
21,442,4.0
6,384,5.0
54,671,4.0
96,686,1.0
41,208,5.0
24,432,4.0
34,463,4.0
83,305,5.0
6,448,5.0
51,222,4.0
54,217,4.0
1,676,3.0
14,687,3.0
43,484,4.0
83,299,2.0
60,366,4.0
11,462,3.0
83,504,5.0
11,221,4.0
48,300,3.0
51,419,5.0
83,648,5.0
6,406,4.0
83,11,3.0
83,471,5.0
18,474,4.0
16,144,4.0
90,571,4.0
87,609,5.0
11,362,4.0
80,21,1.0
54,617,4.0
83,288,4.0
67,0,4.0
19,127,5.0
11,76,5.0
50,533,4.0
7,14,4.0
83,417,1.0
5,585,5.0
24,432,3.0
26,335,3.0
75,13,5.0
85,583,3.0
54,19,4.0
77,651,1.0
16,193,4.0
19,315,4.0
33,268,2.0
92,536,4.0
54,37,4.0
7,534,4.0
36,182,5.0
59,187,5.0
66,147,5.0
7,345,4.0
7,127,5.0
54,310,4.0
11,157,2.0
33,25,3.0
69,469,5.0
19,707,4.0
28,625,3.0
1,91,3.0
54,87,5.0
7,705,3.0
51,176,4.0
91,101,5.0
79,589,4.0
43,155,2.0
11,634,4.0
39,208,5.0
11,474,3.0
54,134,4.0
1,481,3.0
54,173,5.0
11,481,4.0
83,468,5.0
3,642,3.0
33,299,5.0
54,566,5.0
76,250,4.0
98,181,2.0
64,223,5.0
5,5,4.0
83,454,5.0
45,697,5.0
9,342,3.0
14,594,3.0
95,225,5.0
54,220,3.0
11,578,4.0
54,367,3.0
11,573,5.0
100,298,5.0
49,251,3.0
79,39,4.0
7,88,4.0
83,392,5.0
33,572,5.0
11,640,4.0
60,77,5.0
11,456,3.0
56,376,5.0
32,523,4.0
71,82,5.0
88,295,5.0
83,357,4.0
17,337,5.0
65,551,4.0
83,627,5.0
64,460,4.0
89,174,5.0
30,252,2.0
43,149,5.0
65,515,5.0
11,362,1.0
11,474,5.0
42,690,4.0
54,428,3.0
33,595,3.0
93,337,4.0
11,461,2.0
70,364,2.0
57,126,5.0
7,48,3.0
83,441,5.0
68,538,1.0
11,474,4.0
4,228,3.0
13,8,4.0
54,659,1.0
65,551,5.0
27,409,5.0
54,78,1.0
11,12,4.0
37,206,5.0
48,487,5.0
33,200,5.0
60,402,3.0
14,103,3.0
63,700,5.0
84,114,5.0
12,442,1.0
34,21,3.0
17,223,5.0
73,301,2.0
16,193,4.0
83,463,4.0
19,30,3.0
17,206,5.0
11,640,3.0
16,249,4.0
67,97,4.0
40,543,4.0
16,458,5.0
31,699,3.0
83,156,5.0
25,274,5.0
58,426,2.0
6,74,5.0
1,642,3.0
71,216,4.0
30,45,2.0
11,456,5.0
95,672,5.0
48,223,5.0
16,175,4.0
7,502,3.0
71,355,2.0
54,556,5.0
11,551,4.0
17,167,4.0
14,283,4.0
48,36,3.0
11,676,4.0
62,92,4.0
27,279,1.0
15,571,4.0
36,289,3.0
16,577,5.0
54,173,5.0
11,558,2.0
7,208,3.0
54,199,5.0
11,626,5.0
11,474,4.0
33,95,4.0
8,559,4.0
61,385,4.0
16,644,4.0
83,381,5.0
14,339,3.0
2,352,5.0
54,539,5.0
7,466,3.0
83,455,4.0
60,526,3.0
72,420,5.0
15,133,3.0
16,101,5.0
27,212,3.0
7,596,3.0
7,466,5.0
29,102,3.0
10,7,2.0
83,581,5.0
55,696,5.0
94,456,4.0
11,371,4.0
60,692,4.0
56,347,4.0
94,99,5.0
62,468,4.0
38,436,4.0
53,667,5.0
83,166,4.0
8,127,3.0
23,442,4.0
67,463,4.0
11,474,4.0
83,482,5.0
18,683,1.0
98,369,5.0
83,46,3.0
35,120,3.0
33,244,1.0
7,122,2.0
94,522,1.0
24,571,5.0
65,636,5.0
46,545,4.0
74,52,5.0
33,697,4.0
14,451,3.0
16,405,3.0
54,395,5.0
63,136,5.0
55,696,5.0
90,378,4.0
7,705,4.0
66,129,1.0
43,470,3.0
54,78,4.0
28,195,3.0
98,334,4.0
14,283,4.0
45,278,3.0
78,432,5.0
52,696,5.0
31,338,5.0
22,39,3.0
95,29,5.0
28,568,5.0
44,284,4.0
8,208,5.0
54,492,4.0
83,143,4.0
33,200,5.0
58,127,4.0
43,424,5.0
43,158,5.0
11,372,4.0
24,432,4.0
67,115,3.0
27,27,4.0
62,436,4.0
71,107,5.0
43,584,4.0
4,314,5.0
99,445,5.0
67,97,1.0
